Date,Draw,Numbers,Bonus
2025-07-25,1636,"3,29,35,39,42",5
2025-07-22,1635,"3,8,10,27,49",1
2025-07-18,1634,"10,15,26,31,41",5
2025-07-15,1633,"5,21,26,28,39",6
2025-07-11,1632,"1,7,8,15,20",15
2025-07-08,1631,"14,19,37,44,48",17
2025-07-04,1630,"15,16,22,30,32",7
2025-07-01,1629,"8,9,26,30,31",8
2025-06-27,1628,"11,23,32,41,47",17
2025-06-24,1627,"2,22,27,36,39",19
2025-06-20,1626,"22,23,25,29,42",8
2025-06-17,1625,"5,23,26,38,43",4
2025-06-13,1624,"1,21,34,46,47",12
2025-06-10,1623,"5,11,23,29,48",1
2025-06-06,1622,"9,24,34,41,44",2
2025-06-03,1621,"5,26,40,47,50",14
2025-05-30,1619,"10,13,34,43,46",1
2025-05-27,1618,"13,22,33,38,50",15
2025-05-23,1617,"1,17,18,27,49",15
2025-05-20,1616,"13,26,31,32,47",18
2025-05-16,1615,"9,16,20,28,39",19
2025-05-13,1614,"11,21,29,37,39",12
2025-05-09,1613,"5,6,14,38,50",10
2025-05-06,1612,"19,20,32,35,37",19
2025-05-02,1611,"2,6,17,37,47",9
2025-04-29,1610,"5,14,32,33,45",13
2025-04-25,1609,"5,9,13,46,47",11
2025-04-22,1608,"18,32,33,38,43",9
2025-04-18,1607,"15,17,22,33,45",12
2025-04-15,1606,"19,24,38,40,41",2
2025-04-11,1605,"5,12,14,22,48",18
2025-04-08,1604,"1,16,23,37,42",6
2025-04-04,1603,"8,20,35,36,38",2
2025-04-01,1602,"1,6,12,13,36",7
2025-03-28,1601,"1,6,13,14,35",3
2025-03-25,1600,"22,32,38,39,40",10
2025-03-21,1599,"9,16,24,32,50",19
2025-03-18,1598,"15,22,29,35,43",10
2025-03-14,1597,"7,32,38,45,46",2
2025-03-11,1596,"8,28,30,44,48",2
2025-03-07,1595,"12,13,16,28,46",3
2025-03-04,1594,"20,23,35,43,50",15
2025-02-28,1593,"11,19,20,21,44",6
2025-02-25,1592,"18,23,27,34,44",18
2025-02-21,1591,"2,3,15,17,42",5
2025-02-18,1590,"16,19,34,36,43",16
2025-02-14,1589,"2,8,25,37,44",18
2025-02-11,1588,"7,15,21,23,33",13
2025-02-07,1587,"7,30,34,42,49",1
2025-02-04,1586,"19,23,27,41,49",8
2025-01-31,1585,"3,27,36,40,47",15
2025-01-28,1584,"17,21,26,42,43",14
2025-01-24,1583,"12,15,24,43,49",18
2025-01-21,1582,"1,2,15,23,37",4
2025-01-17,1581,"4,11,27,39,40",8
2025-01-14,1580,"20,23,30,34,44",7
2025-01-10,1579,"10,14,33,44,47",2
2025-01-07,1578,"9,12,27,39,42",18
2025-01-03,1577,"6,9,10,25,47",1
2024-12-31,1576,"1,26,31,32,47",2
2024-12-27,1575,"6,10,23,30,47",18
2024-12-24,1574,"5,7,8,12,18",9
2024-12-20,1573,"1,16,20,41,48",8
2024-12-17,1572,"12,21,28,32,40",12
2024-12-13,1571,"3,28,39,40,49",14
2024-12-10,1570,"1,6,29,39,44",17
2024-12-06,1569,"5,15,19,32,35",11
2024-12-03,1568,"6,9,11,23,27",10
2024-11-29,1567,"5,16,27,32,40",1
2024-11-26,1566,"12,18,22,36,38",12
2024-11-22,1565,"15,17,19,43,49",8
2024-11-19,1564,"3,11,17,21,37",6
2024-11-15,1563,"5,18,21,23,31",18
2024-11-12,1562,"4,5,18,39,42",14
2024-11-08,1561,"4,5,29,35,45",7
2024-11-05,1560,"10,14,20,36,43",17
2024-11-01,1559,"3,12,17,29,38",18
2024-10-29,1558,"1,19,30,37,40",16
2024-10-25,1557,"10,38,39,42,49",17
2024-10-22,1556,"2,23,27,45,49",12
2024-10-18,1555,"4,12,28,33,48",14
2024-10-15,1554,"14,32,35,39,44",17
2024-10-11,1553,"3,8,13,46,48",11
2024-10-08,1552,"3,13,31,37,40",9
2024-10-04,1551,"2,8,24,42,48",17
2024-10-01,1550,"3,10,14,25,39",1
2024-09-27,1549,"12,22,29,43,47",10
2024-09-24,1548,"19,23,30,31,38",19
2024-09-20,1547,"6,12,16,18,47",19
2024-09-17,1546,"23,26,43,44,49",16
2024-09-13,1545,"2,10,25,37,43",7
2024-09-10,1544,"16,17,18,47,48",6
2024-09-06,1543,"10,17,23,44,46",4
2024-09-03,1542,"2,9,30,38,47",2
2024-08-30,1541,"8,27,33,43,48",14
2024-08-27,1540,"13,35,39,42,49",2
2024-08-23,1539,"20,22,37,39,40",7
2024-08-20,1538,"5,7,13,23,40",7
2024-08-16,1537,"9,14,15,22,36",1
2024-08-13,1536,"6,34,35,42,46",11
2024-08-09,1535,"7,13,28,37,44",6
2024-08-06,1534,"5,31,34,40,46",10
2024-08-02,1533,"2,5,10,31,32",11
2024-07-30,1532,"7,15,20,32,46",4
