Date,Draw,Numbers,Bonus
2025-07-26,2562,"['12', '16', '20', '22', '27', '52']",21
2025-07-23,2561,"['5', '8', '15', '17', '40', '52']",4
2025-07-19,2560,"['2', '8', '11', '13', '36', '46']",30
2025-07-16,2559,"['8', '10', '27', '44', '45', '48']",26
2025-07-12,2558,"['5', '6', '7', '15', '30', '34']",2
2025-07-09,2557,"['1', '8', '12', '13', '31', '35']",49
2025-07-05,2556,"['8', '14', '29', '30', '49', '52']",23
2025-07-02,2555,"['8', '11', '26', '35', '44', '45']",41
2025-06-28,2554,"['1', '13', '18', '20', '47', '50']",27
2025-06-25,2553,"['16', '17', '18', '41', '45', '46']",5
2025-06-21,2552,"['1', '28', '32', '39', '41', '48']",4
2025-06-18,2551,"['10', '13', '27', '30', '38', '39']",16
2025-06-14,2550,"['5', '8', '17', '18', '29', '35']",50
2025-06-11,2549,"['16', '32', '35', '38', '43', '46']",50
2025-06-07,2548,"['1', '16', '36', '40', '42', '50']",6
2025-06-04,2547,"['8', '24', '32', '34', '36', '52']",26
2025-05-31,2546,"['8', '19', '26', '31', '46', '49']",4
2025-05-28,2545,"['1', '2', '3', '18', '29', '32']",14
2025-05-24,2544,"['3', '7', '29', '33', '37', '46']",43
2025-05-21,2543,"['6', '17', '25', '29', '38', '46']",20
2025-05-17,2542,"['12', '28', '29', '38', '46', '49']",25
2025-05-14,2541,"['9', '18', '19', '30', '31', '40']",28
2025-05-10,2540,"['3', '13', '18', '24', '30', '31']",25
2025-05-07,2539,"['9', '10', '27', '30', '31', '45']",23
2025-05-03,2538,"['4', '5', '7', '10', '11', '41']",2
2025-04-30,2537,"['8', '19', '20', '31', '45', '52']",3
2025-04-26,2536,"['18', '20', '28', '30', '31', '36']",49
2025-04-23,2535,"['1', '5', '22', '31', '34', '44']",33
2025-04-19,2534,"['6', '9', '11', '33', '38', '52']",32
2025-04-16,2533,"['9', '16', '20', '23', '26', '51']",29
2025-04-12,2532,"['3', '9', '16', '17', '31', '48']",36
2025-04-09,2531,"['3', '5', '27', '45', '49', '50']",20
2025-04-05,2530,"['7', '11', '34', '37', '39', '42']",44
2025-04-02,2529,"['6', '7', '22', '29', '44', '50']",4
2025-03-29,2528,"['11', '18', '28', '36', '46', '48']",22
2025-03-26,2527,"['12', '18', '21', '25', '27', '38']",31
2025-03-22,2526,"['3', '12', '16', '18', '31', '51']",2
2025-03-19,2525,"['2', '3', '17', '27', '29', '37']",12
2025-03-15,2524,"['6', '23', '24', '34', '47', '49']",18
2025-03-12,2523,"['7', '12', '24', '32', '39', '48']",9
2025-03-08,2522,"['7', '19', '23', '27', '31', '52']",10
2025-03-05,2521,"['2', '8', '37', '45', '48', '51']",24
2025-03-01,2520,"['8', '12', '20', '22', '49', '50']",10
2025-02-26,2519,"['27', '36', '38', '44', '45', '47']",41
2025-02-22,2518,"['4', '7', '12', '13', '24', '51']",49
2025-02-19,2517,"['11', '13', '32', '43', '50', '51']",16
2025-02-15,2516,"['5', '9', '25', '39', '41', '50']",24
2025-02-12,2515,"['3', '9', '23', '41', '42', '48']",39
2025-02-08,2514,"['1', '4', '14', '17', '20', '34']",50
2025-02-05,2513,"['5', '7', '18', '28', '30', '42']",1
2025-02-01,2512,"['14', '15', '26', '41', '42', '52']",36
2025-01-29,2511,"['6', '11', '13', '24', '32', '44']",14
2025-01-25,2510,"['23', '26', '28', '29', '39', '51']",45
2025-01-22,2509,"['6', '9', '23', '45', '46', '48']",12
2025-01-18,2508,"['13', '20', '25', '33', '38', '40']",44
2025-01-15,2507,"['4', '9', '10', '35', '37', '41']",39
2025-01-11,2506,"['1', '10', '20', '22', '37', '42']",23
2025-01-08,2505,"['16', '22', '24', '34', '38', '49']",35
2025-01-04,2504,"['3', '22', '23', '25', '33', '52']",19
2025-01-01,2503,"['3', '7', '18', '23', '24', '52']",26
2024-12-28,2502,"['7', '18', '25', '28', '29', '44']",8
2024-12-21,2501,"['6', '9', '23', '30', '33', '41']",8
2024-12-18,2500,"['5', '7', '28', '30', '38', '45']",37
2024-12-14,2499,"['6', '8', '11', '39', '42', '47']",41
2024-12-11,2498,"['6', '11', '19', '24', '50', '52']",51
2024-12-07,2497,"['10', '20', '30', '47', '49', '50']",21
2024-12-04,2496,"['4', '14', '19', '20', '21', '48']",47
2024-11-30,2495,"['7', '24', '34', '37', '40', '52']",20
2024-11-27,2494,"['5', '8', '13', '15', '39', '43']",1
2024-11-23,2493,"['3', '9', '10', '16', '22', '25']",43
2024-11-20,2492,"['2', '3', '22', '33', '36', '41']",18
2024-11-16,2491,"['4', '8', '13', '15', '28', '36']",52
2024-11-13,2490,"['3', '25', '33', '35', '42', '45']",9
2024-11-09,2489,"['6', '7', '20', '29', '46', '49']",31
2024-11-06,2488,"['13', '18', '32', '42', '43', '50']",16
2024-11-02,2487,"['1', '7', '10', '15', '42', '51']",49
2024-10-30,2486,"['4', '9', '25', '39', '41', '44']",3
2024-10-26,2485,"['4', '12', '22', '29', '38', '41']",10
2024-10-23,2484,"['11', '18', '19', '20', '27', '30']",44
2024-10-19,2483,"['19', '24', '39', '44', '48', '50']",30
2024-10-16,2482,"['16', '18', '20', '31', '43', '44']",39
2024-10-12,2481,"['5', '8', '10', '46', '49', '51']",27
2024-10-09,2480,"['5', '18', '19', '29', '44', '48']",17
2024-10-05,2479,"['14', '21', '27', '40', '43', '47']",45
2024-10-02,2478,"['5', '6', '14', '26', '37', '50']",13
2024-09-28,2477,"['25', '28', '29', '32', '40', '42']",26
2024-09-25,2476,"['6', '26', '39', '41', '49', '52']",17
2024-09-21,2475,"['21', '29', '32', '33', '36', '50']",52
2024-09-18,2474,"['7', '21', '23', '38', '43', '45']",25
2024-09-14,2473,"['4', '6', '8', '28', '46', '52']",27
2024-09-11,2472,"['8', '13', '16', '22', '26', '43']",9
2024-09-07,2471,"['2', '7', '18', '29', '40', '49']",38
2024-09-04,2470,"['10', '17', '33', '38', '39', '50']",5
2024-08-31,2469,"['1', '10', '14', '19', '25', '46']",29
2024-08-28,2468,"['2', '12', '23', '24', '30', '31']",36
2024-08-24,2467,"['2', '5', '13', '22', '23', '51']",1
2024-08-21,2466,"['4', '11', '22', '29', '36', '44']",14
2024-08-17,2465,"['4', '7', '12', '31', '38', '49']",15
2024-08-14,2464,"['7', '13', '17', '23', '40', '47']",4
2024-08-10,2463,"['7', '11', '24', '26', '32', '41']",15
2024-08-07,2462,"['1', '10', '13', '32', '37', '48']",45
2024-08-03,2461,"['12', '22', '26', '31', '45', '48']",6
2024-07-31,2460,"['11', '12', '14', '20', '34', '48']",33
2024-07-27,2459,"['20', '21', '26', '34', '37', '48']",10
2024-07-24,2458,"['13', '17', '30', '31', '32', '43']",41
2024-07-20,2457,"['19', '22', '27', '37', '42', '46']",47
2024-07-17,2456,"['1', '5', '14', '15', '22', '47']",7
2024-07-13,2455,"['14', '33', '34', '36', '44', '45']",28
2024-07-10,2454,"['9', '17', '25', '40', '49', '52']",38
2024-07-06,2453,"['3', '10', '28', '29', '44', '49']",50
2024-07-03,2452,"['8', '24', '43', '45', '46', '50']",16
2024-06-29,2451,"['10', '11', '15', '21', '44', '47']",8
2024-06-26,2450,"['2', '17', '33', '39', '45', '52']",48
2024-06-22,2449,"['12', '21', '25', '29', '47', '51']",32
2024-06-19,2448,"['9', '11', '25', '26', '31', '39']",45
2024-06-15,2447,"['1', '14', '32', '35', '46', '48']",22
2024-06-12,2446,"['2', '9', '16', '26', '41', '48']",23
2024-06-08,2445,"['5', '6', '10', '11', '35', '41']",17
2024-06-05,2444,"['21', '22', '23', '25', '37', '50']",47
2024-06-01,2443,"['12', '17', '18', '29', '37', '42']",27
2024-05-29,2442,"['5', '11', '20', '27', '41', '45']",42
2024-05-25,2441,"['1', '4', '25', '29', '36', '45']",20
2024-05-22,2440,"['19', '22', '29', '35', '40', '41']",1
2024-05-18,2439,"['12', '24', '28', '37', '38', '47']",1
2024-05-15,2438,"['2', '7', '25', '32', '37', '45']",8
2024-05-11,2437,"['1', '8', '35', '38', '43', '51']",30
2024-05-08,2436,"['19', '26', '31', '36', '37', '40']",22
2024-05-04,2435,"['3', '14', '33', '35', '36', '49']",25
2024-05-01,2434,"['7', '12', '16', '27', '32', '52']",13
2024-04-27,2433,"['10', '11', '17', '27', '33', '40']",8
2024-04-24,2432,"['18', '32', '38', '42', '44', '50']",24
2024-04-20,2431,"['2', '5', '6', '25', '29', '30']",10
2024-04-17,2430,"['15', '21', '34', '36', '37', '47']",43
2024-04-13,2429,"['14', '16', '22', '23', '35', '47']",24
2024-04-10,2428,"['6', '10', '15', '20', '34', '45']",46
2024-04-06,2427,"['7', '8', '17', '19', '28', '49']",12
2024-04-03,2426,"['19', '25', '26', '28', '38', '39']",44
2024-03-30,2425,"['18', '29', '39', '40', '43', '50']",27
2024-03-27,2424,"['11', '22', '41', '45', '46', '51']",50
2024-03-23,2423,"['1', '2', '3', '4', '17', '43']",36
2024-03-20,2422,"['8', '13', '22', '30', '39', '52']",32
2024-03-16,2421,"['5', '8', '11', '15', '19', '51']",21
2024-03-13,2420,"['9', '25', '33', '34', '36', '46']",15
2024-03-09,2419,"['9', '17', '24', '27', '46', '50']",48
2024-03-06,2418,"['7', '16', '17', '22', '32', '48']",36
2024-03-02,2417,"['8', '18', '25', '40', '47', '49']",31
2024-02-28,2416,"['11', '12', '14', '18', '20', '48']",32
2024-02-24,2415,"['2', '7', '20', '27', '29', '34']",37
2024-02-21,2414,"['5', '33', '34', '42', '51', '52']",39
2024-02-17,2413,"['1', '3', '9', '29', '44', '48']",25
2024-02-14,2412,"['6', '18', '23', '29', '30', '45']",44
2024-02-10,2411,"['3', '18', '24', '38', '43', '46']",51
2024-02-07,2410,"['13', '19', '28', '29', '30', '32']",14
2024-02-03,2409,"['16', '17', '24', '31', '36', '43']",44
2024-01-31,2408,"['9', '11', '23', '26', '41', '52']",29
2024-01-27,2407,"['2', '15', '26', '28', '45', '49']",6
2024-01-24,2406,"['14', '16', '18', '21', '45', '51']",4
2024-01-20,2405,"['3', '8', '10', '16', '36', '41']",9
2024-01-17,2404,"['24', '33', '34', '42', '43', '50']",37
2024-01-13,2403,"['11', '13', '29', '48', '50', '51']",47
2024-01-10,2402,"['9', '15', '17', '27', '31', '49']",35
2024-01-06,2401,"['5', '9', '17', '18', '24', '30']",6
2024-01-03,2400,"['7', '18', '32', '36', '38', '52']",25
2023-12-30,2399,"['9', '10', '15', '17', '35', '37']",4
2023-12-27,2398,"['12', '25', '29', '34', '41', '42']",27
2023-12-23,2397,"['19', '20', '28', '37', '49', '50']",48
2023-12-20,2396,"['11', '18', '32', '41', '45', '50']",51
2023-12-16,2395,"['17', '22', '31', '36', '43', '47']",29
2023-12-13,2394,"['11', '12', '14', '16', '31', '38']",7
2023-12-09,2393,"['8', '14', '23', '40', '42', '44']",33
2023-12-06,2392,"['10', '13', '34', '42', '45', '51']",24
2023-12-02,2391,"['1', '32', '33', '35', '42', '51']",20
2023-11-29,2390,"['11', '20', '23', '25', '38', '41']",32
2023-11-25,2389,"['3', '14', '15', '24', '25', '40']",45
2023-11-22,2388,"['5', '12', '19', '23', '25', '41']",15
2023-11-18,2387,"['11', '19', '21', '25', '34', '41']",44
2023-11-15,2386,"['11', '14', '34', '38', '45', '46']",51
2023-11-11,2385,"['3', '33', '43', '45', '46', '47']",22
2023-11-08,2384,"['1', '16', '20', '21', '28', '45']",17
2023-11-04,2383,"['12', '18', '30', '48', '51', '52']",38
2023-11-01,2382,"['6', '14', '25', '33', '40', '49']",16
2023-10-28,2381,"['1', '36', '41', '43', '46', '51']",25
2023-10-25,2380,"['3', '4', '13', '24', '25', '39']",48
2023-10-21,2379,"['22', '38', '40', '42', '48', '49']",18
2023-10-18,2378,"['8', '9', '30', '31', '40', '42']",23
2023-10-14,2377,"['8', '10', '17', '20', '49', '51']",44
2023-10-11,2376,"['4', '8', '10', '25', '33', '50']",32
2023-10-07,2375,"['10', '13', '21', '23', '29', '30']",22
2023-10-04,2374,"['4', '14', '17', '32', '41', '48']",2
2023-09-30,2373,"['1', '10', '14', '15', '16', '40']",33
2023-09-27,2372,"['6', '9', '15', '22', '28', '39']",31
2023-09-23,2371,"['1', '5', '24', '25', '27', '41']",50
2023-09-20,2370,"['17', '26', '28', '31', '33', '35']",2
2023-09-16,2369,"['10', '18', '19', '32', '34', '44']",25
2023-09-13,2368,"['4', '28', '35', '47', '50', '51']",15
2023-09-09,2367,"['7', '10', '18', '20', '23', '30']",4
2023-09-06,2366,"['3', '13', '32', '35', '49', '50']",26
2023-09-02,2365,"['2', '23', '36', '37', '40', '46']",39
2023-08-30,2364,"['22', '23', '28', '37', '43', '50']",45
2023-08-26,2363,"['7', '10', '27', '28', '48', '49']",20
2023-08-23,2362,"['4', '6', '24', '28', '41', '46']",27
2023-08-19,2361,"['13', '14', '15', '18', '22', '33']",36
2023-08-16,2360,"['6', '8', '13', '28', '37', '48']",21
2023-08-12,2359,"['12', '21', '25', '27', '40', '46']",13
2023-08-09,2358,"['5', '6', '11', '23', '28', '31']",21
2023-08-05,2357,"['7', '27', '39', '43', '44', '48']",10
2023-08-02,2356,"['13', '16', '37', '40', '42', '47']",43
2023-07-29,2355,"['4', '9', '14', '16', '21', '40']",44
2023-07-26,2354,"['14', '29', '35', '36', '43', '46']",44
2023-07-22,2353,"['1', '20', '25', '26', '28', '42']",13
